Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf
The Confession,Domenic Stansberry,"Stansberry, Domenic",,843953543,9.78084E+12,3,3.61,218,2004,2004,10/16/08,10/15/08,,,read
I Am Legend,Richard Matheson,"Matheson, Richard",,765357151,9.78077E+12,3,4,312,2007,1954,10/13/08,10/15/08,,,read
"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",Madeleine L'Engle,"L'Engle, Madeleine",,374386137,9.78037E+12,4,3.97,203,1962,1962,10/7/08,10/8/08,,,read
"A Dirty Job (Grim Reaper, #1)",Christopher Moore,"Moore, Christopher",,60590270,9.78006E+12,5,4.03,387,2006,2006,10/4/08,9/25/08,,,read
Choke,Chuck Palahniuk,"Palahniuk, Chuck",,385720920,9.78039E+12,4,3.71,293,2002,2001,9/23/08,9/15/08,,,read
Ham on Rye,Charles Bukowski,"Bukowski, Charles",,006117758X,9.78006E+12,4,4.14,288,2007,1982,9/13/08,8/5/08,,,read
Mobile Web Design,Cameron Moll,"Moll, Cameron",,615185916,9.78062E+12,3,3.4,108,2007,2007,9/7/08,9/4/08,,,read
Feasting on Asphalt: The River Run,Alton Brown,"Brown, Alton",Jean-Claude Dhien,1584796812,9.78158E+12,4,4.06,208,2008,2008,9/2/08,8/28/08,,,read
"Practical Magic (Practical Magic, #1)",Alice Hoffman,"Hoffman, Alice",,399140557,9.7804E+12,3,3.71,244,1995,1995,8/27/08,8/25/08,,,read
"The Gunslinger Born (Stephen King's The Dark Tower: Beginnings, #1)",Peter David,"David, Peter","Robin Furth, Jae Lee, Richard Isanove, Stephen  King, Ralph Macchio",785121447,9.78079E+12,4,4.23,240,2007,2007,8/26/08,8/28/08,,,read
America (The Book): A Citizen's Guide to Democracy Inaction,Jon   Stewart,"Stewart, Jon","Ben Karlin, David Javerbaum, Rich Bloomquist, Steve Bodow, Tim Carvell, Eric Drysdale, J.R. Havlan, Scott Jacobson, Tom Johnson, Rob Kutner, Chris Regan, Jason Reich, Jason Ross, Stephen Colbert, Samantha Bee, Rob Corddry, Brendan Hay, Ed Helms",713998946,9.78071E+12,4,4.01,228,2004,2004,8/20/08,8/4/08,,,read
"The Sandman, Vol. 3: Dream Country",Neil Gaiman,"Gaiman, Neil",Bob Kahan,156389226X,9.78156E+12,3,4.24,160,1999,1990,8/19/08,8/20/08,,,read
"The Sandman, Vol. 2: The Doll's House",Neil Gaiman,"Gaiman, Neil","Mike Dringenberg, Malcolm Jones III, Chris Bachalo, Michael Zulli, Steve Parkhouse, Todd Klein, Clive Barker",1563892251,9.78156E+12,3,4.43,232,1995,1990,8/12/08,8/13/08,,,read
"The Sandman, Vol. 1: Preludes & Nocturnes",Neil Gaiman,"Gaiman, Neil","Sam Kieth, Mike Dringenberg, Malcolm Jones III, Todd Klein, Karen  Berger, Daniel Vozzo",1563892278,9.78156E+12,3,4.25,240,1998,1988,8/7/08,8/4/08,,,read
Peace,Gene Wolfe,"Wolfe, Gene",,,,4,4.11,272,1995,1975,7/13/08,7/19/08,,,read
A Touch of Death,Charles    Williams,"Williams, Charles",,843955880,9.78084E+12,3,3.83,250,2006,1953,7/6/08,1/14/08,,,read
"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,"Zafón, Carlos Ruiz",Lucia Graves,,,5,4.31,487,2005,2001,5/13/08,5/1/08,,,read
Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,"Bourdain, Anthony",,60899220,9.78006E+12,5,4.19,312,2007,2000,4/22/08,2/26/08,,,read
Invisible Monsters,Chuck Palahniuk,"Palahniuk, Chuck",,393319296,9.78039E+12,3,4,297,1999,1999,3/21/08,3/17/08,,,read
The Blind Assassin,Margaret Atwood,"Atwood, Margaret",,,,1,3.96,637,2001,2000,3/1/08,4/13/08,tried-and-gave-up-on,tried-and-gave-up-on,read
"The Lust Lizard of Melancholy Cove (Pine Cove, #2)",Christopher Moore,"Moore, Christopher",,60735457,9.78006E+12,4,3.88,304,2004,1999,3/1/08,2/12/08,,,read
"The Big Sleep (Philip Marlowe, #1)",Raymond Chandler,"Chandler, Raymond",,,,5,3.94,231,1988,1939,2/28/08,2/12/08,,,read
Strangers on a Train,Patricia Highsmith,"Highsmith, Patricia",,393321983,9.78039E+12,4,3.72,281,2001,1950,2/1/08,4/13/08,,,read
Marley and Me: Life and Love With the World’s Worst Dog,John Grogan,"Grogan, John",,739461192,9.78074E+12,1,4.14,291,2005,2005,1/1/08,4/13/08,tried-and-gave-up-on,tried-and-gave-up-on,read
Election,Tom Perrotta,"Perrotta, Tom",,399143661,9.7804E+12,4,3.81,200,1998,1998,1/1/08,1/14/08,,,read
1984,George Orwell,"Orwell, George",,,,5,4.2,328,1950,1949,12/1/07,12/5/07,,,read
McSweeney's Enchanted Chamber of Astonishing Stories,Michael Chabon,"Chabon, Michael",Mike Mignola,1400078741,9.7814E+12,3,3.53,328,2004,2004,11/9/07,10/31/07,,,read
The Amazing Adventures of the Escapist: Volume 2,Brian K. Vaughan,"Vaughan, Brian K.","Michael Chabon, Kevin  McCarthy",1593071728,9.78159E+12,3,3.53,160,2004,2004,10/1/07,10/19/07,,,read
"McSweeney's Issue 10: McSweeney's Mammoth Treasury of Thrilling Tales (McSweeney’s Quarterly Concern, #10)",Michael Chabon,"Chabon, Michael","Aimee Bender, Carol Emshwiller, Chris Offutt, Dan Chaon, Dave Eggers, Elmore Leonard, Glen David Gold, Harlan Ellison, Jim Shepard, Karen Joy Fowler, Kelly Link, Laurie King, Michael Crichton, Michael Moorcock, Neil Gaiman, Nick Hornby, Rick Moody, Sherman Alexie, Stephen  King",140003339X,9.7814E+12,4,3.53,479,2003,2003,10/1/07,9/27/07,,,read
13 Monsters,Dorothy Gladys Spicer,"Spicer, Dorothy Gladys",Sofia,,,3,3,127,1964,1964,9/1/07,9/27/07,,,read
"Thinking with Type: A Critical Guide for Designers, Writers, Editors, and Students",Ellen Lupton,"Lupton, Ellen",,1568984480,9.78157E+12,5,4.12,176,2004,2004,8/1/07,9/25/07,,,read
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.",,,,5,4.58,652,2006,2005,6/1/07,9/25/07,,,read
The Invention of Hugo Cabret,Brian Selznick,"Selznick, Brian",,,,5,4.22,534,2007,2007,6/1/07,9/25/07,,,read
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,439686520,9.78044E+12,4,4.5,870,2004,2003,6/1/07,9/25/07,,,read
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,439139597,9.78044E+12,4,4.57,734,2002,2000,6/1/07,9/25/07,,,read
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,,,5,4.43,352,1999,1998,5/1/07,9/25/07,,,read
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,043965548X,9.78044E+12,5,4.58,547,2004,1999,5/1/07,9/25/07,,,read
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,439554934,9.78044E+12,4,4.47,309,2003,1997,5/1/07,9/25/07,,,read
White Fang,Jack London,"London, Jack",K.A. Applegate,,,5,4.03,252,2001,1906,4/1/07,9/25/07,,,read
"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",Chuck Klosterman,"Klosterman, Chuck",,743236017,9.78074E+12,3,3.74,272,2004,2003,3/1/07,9/25/07,,,read
"Rich Dad, Poor Dad",Robert T. Kiyosaki,"Kiyosaki, Robert T.",,751532711,9.78075E+12,3,4.09,195,2001,1997,1/1/05,2/12/10,,,read
The Best American Short Stories 2008,E.L. Doctorow,"Doctorow, E.L.",Katrina Kenison,395926866,9.7804E+12,3,3.92,384,2008,2000,1/1/05,2/12/10,,,read
’Salem’s Lot,Stephen  King,"King, Stephen",,450031063,9.78045E+12,3,4.1,483,1991,1975,1/1/05,2/12/10,,,read
To Kill a Mockingbird,Harper Lee,"Lee, Harper",,60935464,9.78006E+12,5,4.26,323,2006,1960,1/1/04,9/20/07,,,read
"The Restaurant at the End of the Universe (The Hitchhiker's Guide to the Galaxy, #2)",Douglas Adams,"Adams, Douglas",,671664948,9.78067E+12,4,4.2,250,1987,1980,6/1/03,4/11/08,,,read
"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"Adams, Douglas",,671746065,9.78067E+12,5,4.22,216,1991,1979,6/1/03,4/11/08,,,read
One Flew Over the Cuckoo’s Nest,Ken Kesey,"Kesey, Ken",,,,5,4.2,325,1963,1962,6/1/01,3/25/08,,,read
Ten Little Indians,Sherman Alexie,"Alexie, Sherman",,009946456X,9.7801E+12,4,4.07,256,2005,2003,1/1/01,12/15/08,,,read
The Lone Ranger and Tonto Fistfight in Heaven,Sherman Alexie,"Alexie, Sherman",,802141676,9.7808E+12,4,4.09,242,2005,1993,1/1/99,12/15/08,,,read
Breakfast of Champions,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,385334206,9.78039E+12,5,4.06,303,1999,1973,1/1/99,3/30/08,,,read
More to the Story,Hena Khan,"Khan, Hena",,148149211X,9.78148E+12,0,4.21,197,2019,2019,,3/23/25,currently-reading,currently-reading (#1),currently-reading
The Huntress,Kate Quinn,"Quinn, Kate",,62884344,9.78006E+12,0,4.3,549,2019,2019,,2/19/19,to-read,to-read (#169),to-read
The Guest List,Lucy Foley,"Foley, Lucy",,,,4,3.8,319,2020,2020,,3/15/23,,,read
Small Things Like These,Claire Keegan,"Keegan, Claire",,802158749,9.7808E+12,0,4.09,128,2021,2021,,3/10/23,to-read,to-read (#331),to-read
Good for a Girl: A Woman Running in a Man's World,Lauren Fleshman,"Fleshman, Lauren",,593296788,9.78059E+12,0,4.46,288,2023,2023,,3/10/23,to-read,to-read (#330),to-read
The Deluge,Stephen Markley,"Markley, Stephen",,1982123095,9.78198E+12,0,4.24,896,2023,2023,,3/5/23,to-read,to-read (#329),to-read
Prozac Nation,Elizabeth Wurtzel,"Wurtzel, Elizabeth",,1573225126,9.78157E+12,0,3.64,368,1995,1994,,3/2/23,to-read,to-read (#328),to-read
"Gideon the Ninth (The Locked Tomb, #1)",Tamsyn Muir,"Muir, Tamsyn",,1250313198,9.78125E+12,0,4.19,448,2019,2019,,2/21/23,to-read,to-read (#327),to-read
Tower,Bae Myung-hoon,"Myung-hoon, Bae",Sung Ryu,1916277128,9.78192E+12,0,3.63,253,2021,2009,,2/21/23,to-read,to-read (#326),to-read
The Woman in the Library,Sulari Gentill,"Gentill, Sulari",,,,0,3.5,292,2022,2022,,9/26/22,to-read,to-read (#325),to-read
Fairy Tale,Stephen  King,"King, Stephen",,1668002175,9.78167E+12,0,4.09,607,2022,2022,,9/26/22,to-read,to-read (#324),to-read
The Patron Saint of Liars,Ann Patchett,"Patchett, Ann",,1841150509,9.78184E+12,0,3.9,352,2003,1992,,8/18/22,to-read,to-read (#323),to-read
Hiding the Elephant: How Magicians Invented the Impossible and Learned to Disappear,Jim Steinmeyer,"Steinmeyer, Jim",Teller,786714018,9.78079E+12,0,4.16,393,2004,2003,,8/18/22,to-read,to-read (#322),to-read
"Love, Lies, and Hocus Pocus: Beginnings (The Lily Singer Adventures, #1)",Lydia Sherrer,"Sherrer, Lydia",,,,0,3.68,240,2017,2016,,8/9/22,to-read,to-read (#321),to-read
"Odd Thomas (Odd Thomas, #1)",Dean Koontz,"Koontz, Dean",,553384287,9.78055E+12,3,3.99,446,2006,2003,,9/15/20,,,read
"Agents of Influence: A British Plot, a Canadian Spy, and the Secret Effort to Bring America into World War II",Henry Hemming,"Hemming, Henry",,1541742141,9.78154E+12,0,4.22,400,2019,2019,,5/21/22,to-read,to-read (#320),to-read
The Torqued Man,Peter  Mann,"Mann, Peter",,63072106,9.78006E+12,0,3.78,384,2022,2022,,5/21/22,to-read,to-read (#319),to-read
Madhouse at the End of the Earth: The Belgica's Journey into the Dark Antarctic Night,Julian Sancton,"Sancton, Julian",,1984824333,9.78198E+12,0,4.27,354,2021,2021,,5/21/22,to-read,to-read (#318),to-read
Tiger Girl And The Candy Kid: America’s Original Gangster Couple – The Jazz Age True Crime Tale of a Million-Dollar Heist and Tabloid Infamy,Glenn Stout,"Stout, Glenn",,358067774,9.78036E+12,0,3.72,384,2021,2021,,5/21/22,to-read,to-read (#317),to-read
The Great Train Robbery,Michael Crichton,"Crichton, Michael",,553129198,9.78055E+12,0,3.89,300,1979,1975,,4/12/22,to-read,to-read (#316),to-read
Horseman: A Tale of Sleepy Hollow,Christina Henry,"Henry, Christina",,593199782,9.78059E+12,0,3.68,302,2021,2021,,3/31/22,to-read,to-read (#315),to-read
"The Apollo Murders (Apollo Murders, #1)",Chris Hadfield,"Hadfield, Chris",,316264539,9.78032E+12,0,3.92,480,2021,2021,,2/20/22,to-read,to-read (#314),to-read
Up in the Old Hotel,Joseph Mitchell,"Mitchell, Joseph",,679746315,9.78068E+12,0,4.33,716,1993,1992,,2/12/22,to-read,to-read (#313),to-read
Let the Great World Spin,Colum McCann,"McCann, Colum",,1400063736,9.7814E+12,0,3.96,351,2009,2009,,12/22/21,to-read,to-read (#312),to-read
Light from Uncommon Stars,Ryka Aoki,"Aoki, Ryka",,1250789060,9.78125E+12,0,4.04,384,2021,2021,,12/15/21,to-read,to-read (#311),to-read
The Fortune Men,Nadifa Mohamed,"Mohamed, Nadifa",,241466946,9.78024E+12,0,3.79,315,2022,2021,,11/6/21,to-read,to-read (#310),to-read
Bewilderment,Richard Powers,"Powers, Richard",,393881148,9.78039E+12,0,3.91,278,2021,2021,,11/6/21,to-read,to-read (#309),to-read
"Wytches, Volume 1",Scott Snyder,"Snyder, Scott","Jock, Matt Hollingsworth, Clem Robins",1632153807,9.78163E+12,0,3.79,192,2015,2014,,10/9/21,to-read,to-read (#308),to-read
"The Diviners (The Diviners, #1)",Libba Bray,"Bray, Libba",,,,0,3.94,578,2012,2012,,9/20/21,to-read,to-read (#307),to-read
The Hollow Places,T. Kingfisher,"Kingfisher, T.",,1534451129,9.78153E+12,0,3.78,341,2020,2020,,9/20/21,to-read,to-read (#306),to-read
The Adventures of Nicholas,Helen Siiteri,"Siiteri, Helen",,1412038650,9.78141E+12,0,4.11,82,2006,1966,,9/8/21,to-read,to-read (#305),to-read
"Favorite Recipes from Melissa Clark's Kitchen: Family Meals, Festive Gatherings, and Everything In-between",Melissa Clark,"Clark, Melissa",,316354147,9.78032E+12,0,3.94,256,2018,2018,,9/3/21,to-read,to-read (#304),to-read
The Sentence,Louise Erdrich,"Erdrich, Louise",,006267112X,9.78006E+12,0,3.93,387,2021,2021,,8/19/21,to-read,to-read (#303),to-read
Homegoing,Yaa Gyasi,"Gyasi, Yaa",,,,0,4.47,305,2016,2016,,8/6/21,to-read,to-read (#302),to-read
The Book of Lost Names,Kristin Harmel,"Harmel, Kristin",,1982131896,9.78198E+12,0,4.44,388,2020,2020,,7/5/21,to-read,to-read (#301),to-read
White Is for Witching,Helen Oyeyemi,"Oyeyemi, Helen",,330458140,9.78033E+12,0,3.54,256,2009,2009,,6/29/21,to-read,to-read (#300),to-read
The Treasure of Alpheus Winterborn,John Bellairs,"Bellairs, John","Judith Gwyn Brown, Priscilla Bellairs",140380094,9.78014E+12,0,3.9,192,1997,1978,,6/29/21,to-read,to-read (#299),to-read
Secret of the Warlock's Crypt,Tom   Hayes,"Hayes, Tom",,1626130493,9.78163E+12,0,5,252,2015,2015,,6/29/21,to-read,to-read (#298),to-read
"14 (Threshold, #1)",Peter Clines,"Clines, Peter",,,,0,3.97,372,2012,2012,,6/29/21,to-read,to-read (#297),to-read
The Sword of Kaigen,M.L. Wang,"Wang, M.L.",,,,0,4.44,651,2019,2019,,6/29/21,to-read,to-read (#296),to-read
Christmas Tales of Terror (Tales of Terror),Chris Priestley,"Priestley, Chris",,,,0,3.62,104,2012,2012,,6/23/21,to-read,to-read (#295),to-read
The Dead of Winter,Chris Priestley,"Priestley, Chris",,1408800136,9.78141E+12,0,3.67,219,2010,2010,,6/23/21,to-read,to-read (#294),to-read
"Jade City (The Green Bone Saga, #1)",Fonda Lee,"Lee, Fonda",,316440884,9.78032E+12,0,4.06,540,2018,2017,,6/21/21,to-read,to-read (#293),to-read
The Fortress of Solitude,Jonathan Lethem,"Lethem, Jonathan",,571219357,9.78057E+12,0,3.84,528,2005,2003,,6/20/21,to-read,to-read (#292),to-read
The Cold Millions,Jess Walter,"Walter, Jess",,006286808X,9.78006E+12,0,3.95,342,2020,2020,,5/1/21,to-read,to-read (#291),to-read
Beautiful Ruins,Jess Walter,"Walter, Jess",,61928127,9.78006E+12,0,3.68,337,2012,2012,,5/1/21,to-read,to-read (#290),to-read
"The Jigsaw Man (Inspector Anjelica Henley, #1)",Nadine Matheson,"Matheson, Nadine",,,,0,3.88,496,2021,2020,,4/6/21,to-read,to-read (#289),to-read
Later,Stephen  King,"King, Stephen",,,,0,3.96,248,2021,2021,,4/6/21,to-read,to-read (#288),to-read
Northern Spy,Flynn Berry,"Berry, Flynn",,,,0,3.69,304,2021,2021,,4/6/21,to-read,to-read (#287),to-read
Code Name: Lise: The True Story of the Woman Who Became WWII's Most Highly Decorated Spy,Larry Loftis,"Loftis, Larry",,1501198653,9.7815E+12,0,3.99,384,2019,2019,,3/19/21,to-read,to-read (#286),to-read
"Paris, 1919: Six Months that Changed the World",Margaret MacMillan,"MacMillan, Margaret",Richard Holbrooke,375760520,9.78038E+12,0,4.13,624,2003,2001,,3/14/21,to-read,to-read (#285),to-read
Fingersmith,Sarah Waters,"Waters, Sarah",,1101057025,9.7811E+12,0,4.02,592,2002,2002,,3/3/21,to-read,to-read (#284),to-read
The Essential Ellison,Harlan Ellison,"Ellison, Harlan",,962344737,9.78096E+12,0,4.45,1019,1991,1974,,3/3/21,to-read,to-read (#283),to-read
News of the World,Paulette Jiles,"Jiles, Paulette",,62409204,9.78006E+12,0,4.08,209,2016,2016,,3/3/21,to-read,to-read (#282),to-read
"Master & Commander (Aubrey & Maturin, #1)",Patrick O'Brian,"O'Brian, Patrick",,393307050,9.78039E+12,0,4.07,464,1990,1969,,3/3/21,to-read,to-read (#281),to-read
I Capture the Castle,Dodie Smith,"Smith, Dodie",,312181108,9.78031E+12,0,3.99,408,1998,1948,,3/3/21,to-read,to-read (#280),to-read
The Summer Book,Tove Jansson,"Jansson, Tove","Esther Freud, Sophia Jansson",954221710,9.78095E+12,0,4,192,2003,1972,,3/3/21,to-read,to-read (#279),to-read
The Ten Thousand Doors of January,Alix E. Harrow,"Harrow, Alix E.",,316421995,9.78032E+12,0,4.01,374,2019,2019,,2/18/21,to-read,to-read (#278),to-read
Hour of the Witch,Chris Bohjalian,"Bohjalian, Chris",,385542437,9.78039E+12,0,3.84,406,2021,2021,,2/16/21,to-read,to-read (#277),to-read
Wild Women and the Blues,Denny S.  Bryce,"Bryce, Denny S.",,1496730089,9.7815E+12,0,3.77,352,2021,2021,,2/16/21,to-read,to-read (#276),to-read
Outlawed,Anna North,"North, Anna",,,,0,3.5,261,2021,2021,,2/16/21,to-read,to-read (#275),to-read
The Hike,Drew Magary,"Magary, Drew",,399563857,9.7804E+12,0,3.97,278,2016,2016,,2/12/21,to-read,to-read (#274),to-read
"Murder in an Irish Village (Irish Village Mystery, #1)",Carlene O'Connor,"O'Connor, Carlene",,1617738441,9.78162E+12,0,3.82,334,2016,2016,,2/3/21,to-read,to-read (#273),to-read
The Name of the Rose,Umberto Eco,"Eco, Umberto",William Weaver,156001314,9.78016E+12,0,4.14,552,1994,1980,,1/24/21,to-read,to-read (#272),to-read
Skippy Dies,Paul Murray,"Murray, Paul",,241141826,9.78024E+12,0,3.8,661,2010,2010,,1/5/21,to-read,to-read (#271),to-read
The Vanishing Half,Brit Bennett,"Bennett, Brit",,,,0,4.12,343,2020,2020,,1/5/21,to-read,to-read (#270),to-read
The Elephant in the Brain: Hidden Motives in Everyday Life,Kevin Simler,"Simler, Kevin",Robin Hanson,190496010,9.78019E+12,0,3.96,408,2017,2017,,1/4/21,to-read,to-read (#269),to-read
Barbarian Days: A Surfing Life,William Finnegan,"Finnegan, William",,1594203474,9.78159E+12,0,4.28,447,2015,2015,,1/4/21,to-read,to-read (#268),to-read
Lifespan: Why We Age―and Why We Don't Have To,David A. Sinclair,"Sinclair, David A.",,1501191977,9.7815E+12,0,4.12,432,2019,2019,,1/4/21,to-read,to-read (#267),to-read
Street of Eternal Happiness: Big City Dreams Along a Shanghai Road,Rob Schmitz,"Schmitz, Rob",,553418084,9.78055E+12,0,4.26,336,2016,2016,,1/4/21,to-read,to-read (#266),to-read
The Empty Mirror: Experiences in a Japanese Zen Monastery,Janwillem van de Wetering,"Wetering, Janwillem van de",,312207743,9.78031E+12,0,4.1,146,1999,1973,,1/4/21,to-read,to-read (#265),to-read
"Ready Player Two (Ready Player One, #2)",Ernest Cline,"Cline, Ernest",,1524761338,9.78152E+12,3,3.44,370,2020,2020,,11/27/20,,,read
"While Justice Sleeps (Avery Keene, #1)",Stacey Abrams,"Abrams, Stacey",,385546572,9.78039E+12,0,3.95,367,2021,2021,,1/1/21,to-read,to-read (#264),to-read
First Person Singular: Stories,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,593318072,9.78059E+12,0,3.53,245,2021,2020,,1/1/21,to-read,to-read (#263),to-read
The Committed,Viet Thanh Nguyen,"Nguyen, Viet Thanh",,,,0,3.96,,2021,2021,,1/1/21,to-read,to-read (#262),to-read
Hamnet,Maggie O'Farrell,"O'Farrell, Maggie",,1472223799,9.78147E+12,0,4.19,372,2020,2020,,12/26/20,to-read,to-read (#261),to-read
"The Black Count: Glory, Revolution, Betrayal, and the Real Count of Monte Cristo",Tom Reiss,"Reiss, Tom",,030738246X,9.78031E+12,0,4.02,414,2012,2012,,12/11/20,to-read,to-read (#260),to-read
"A Highland Christmas (Hamish Macbeth, #15.5)",M.C. Beaton,"Beaton, M.C.",,,,4,3.82,160,2002,1999,,12/5/20,,,read
"The Last Lion: Winston Spencer Churchill: Defender of the Realm, 1940-1965",William Manchester,"Manchester, William",Paul   Reid,316547700,9.78032E+12,0,4.44,1182,2012,2012,,12/1/20,to-read,to-read (#259),to-read
"That Wild Country: An Epic Journey through the Past, Present, and Future of America's Public Lands",Mark Kenyon,"Kenyon, Mark",,1542043050,9.78154E+12,0,4.1,277,2019,2019,,12/1/20,to-read,to-read (#258),to-read
The Snow Child,Eowyn Ivey,"Ivey, Eowyn",,316175676,9.78032E+12,0,4.02,386,2012,2012,,12/1/20,to-read,to-read (#257),to-read
The Warmth of Other Suns: The Epic Story of America's Great Migration,Isabel Wilkerson,"Wilkerson, Isabel",,679444327,9.78068E+12,0,4.48,640,2010,2010,,12/1/20,to-read,to-read (#256),to-read
"Howl's Moving Castle (Howl's Moving Castle, #1)",Diana Wynne Jones,"Jones, Diana Wynne",Tim   Stevens,,,0,4.28,302,2009,1986,,12/1/20,to-read,to-read (#255),to-read
Inner Engineering: A Yogi's Guide to Joy,Sadhguru,"Sadhguru, Sadhguru",,812997794,9.78081E+12,0,4.19,288,2016,2016,,12/1/20,to-read,to-read (#254),to-read
The Secrets We Kept,Lara Prescott,"Prescott, Lara",,525656162,9.78053E+12,0,3.65,368,2019,2019,,11/30/20,to-read,to-read (#253),to-read
Joel on Software,Joel Spolsky,"Spolsky, Joel",,1590593898,9.78159E+12,0,4.13,362,2004,2004,,11/3/20,to-read,to-read (#252),to-read
"Conspiracy: Peter Thiel, Hulk Hogan, Gawker, and the Anatomy of Intrigue",Ryan Holiday,"Holiday, Ryan",,735217661,9.78074E+12,0,3.96,334,2018,2018,,11/3/20,to-read,to-read (#251),to-read
"The Silicon Boys: And Their Valley of Dreams – High-Tech Genius, Greed, and the Forging of the New Economy",David A. Kaplan,"Kaplan, David A.",,688179061,9.78069E+12,0,3.88,,2000,1999,,11/3/20,to-read,to-read (#250),to-read
"The Great Brain (Great Brain, #1)",John D. Fitzgerald,"Fitzgerald, John D.",Mercer Mayer,142400580,9.78014E+12,0,4.16,175,2004,1967,,11/3/20,to-read,to-read (#249),to-read
Down and Out in the Magic Kingdom,Cory Doctorow,"Doctorow, Cory",,076530953X,9.78077E+12,0,3.56,208,2003,2003,,11/3/20,to-read,to-read (#248),to-read
In Cold Blood,Truman Capote,"Capote, Truman",,679745580,9.78068E+12,0,4.09,343,1994,1966,,10/7/20,to-read,to-read (#247),to-read
The Fisherman,John  Langan,"Langan, John",,1939905214,9.78194E+12,0,3.84,266,2016,2016,,10/7/20,to-read,to-read (#246),to-read
Dark Matter,Michelle Paver,"Paver, Michelle",,1409123782,9.78141E+12,0,3.96,246,2010,2010,,10/7/20,to-read,to-read (#245),to-read
Unsheltered,Barbara Kingsolver,"Kingsolver, Barbara",,62865501,9.78006E+12,0,3.67,,2018,2018,,9/12/20,to-read,to-read (#244),to-read
Truth & Beauty,Ann Patchett,"Patchett, Ann",,60572159,9.78006E+12,0,3.97,257,2005,2004,,9/11/20,to-read,to-read (#243),to-read
"Alcatraz Versus the Evil Librarians (Alcatraz, #1)",Brandon Sanderson,"Sanderson, Brandon",,439925509,9.78044E+12,0,3.92,308,2007,2007,,9/4/20,to-read,to-read (#242),to-read
Piranesi,Susanna Clarke,"Clarke, Susanna",,163557563X,9.78164E+12,0,4.21,272,2020,2020,,9/1/20,to-read,to-read (#241),to-read
"The Silver Arrow (The Silver Arrow, #1)",Lev Grossman,"Grossman, Lev",,316539538,9.78032E+12,0,4,272,2020,2020,,8/24/20,to-read,to-read (#240),to-read
Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,"Walker, Matthew",,,,0,4.37,368,2017,2017,,8/8/20,to-read,to-read (#239),to-read
"No Place to Hide: Edward Snowden, the NSA, and the U.S. Surveillance State",Glenn Greenwald,"Greenwald, Glenn",,162779073X,9.78163E+12,0,4.07,260,2014,2014,,8/8/20,to-read,to-read (#238),to-read
An Unnecessary Woman,Rabih Alameddine,"Alameddine, Rabih",,802122140,9.7808E+12,0,3.82,291,2014,2013,,8/6/20,to-read,to-read (#237),to-read
"The Road to Unfreedom: Russia, Europe, America",Timothy Snyder,"Snyder, Timothy",,525574468,9.78053E+12,0,4.37,359,2018,2018,,7/29/20,to-read,to-read (#236),to-read
The Sun Down Motel,Simone St. James,"James, Simone St.",,440000173,9.78044E+12,0,4,327,2020,2020,,7/28/20,to-read,to-read (#235),to-read
"Hell Bent (Alex Stern, #2)",Leigh Bardugo,"Bardugo, Leigh",,1250313112,9.78125E+12,0,4.11,484,2023,2023,,7/28/20,to-read,to-read (#234),to-read
Afterland,Lauren Beukes,"Beukes, Lauren",,031626783X,9.78032E+12,0,3.25,411,2020,2020,,7/24/20,to-read,to-read (#233),to-read
The Museum of Extraordinary Things,Alice Hoffman,"Hoffman, Alice",,1451693567,9.78145E+12,0,3.77,368,2014,2014,,6/26/20,to-read,to-read (#232),to-read
The Drifters,James A. Michener,"Michener, James A.",,449213536,9.78045E+12,0,4.06,768,1986,1971,,6/7/20,to-read,to-read (#231),to-read
Welcome to Hard Times,E.L. Doctorow,"Doctorow, E.L.",,452275717,9.78045E+12,0,3.83,212,1996,1960,,6/5/20,to-read,to-read (#230),to-read
The Ox-Bow Incident,Walter Van Tilburg Clark,"Clark, Walter Van Tilburg",Wallace Stegner,812972589,9.78081E+12,0,3.87,247,2004,1940,,6/5/20,to-read,to-read (#229),to-read
