Title,Author,ISBN,My Rating,Date Read,
"Red Mars (Mars Trilogy, #1)",Kim Stanley Robinson,553560735,0,,
Double Indemnity,James M. Cain,679723226,4,,
"Rule of Two (Star Wars: Darth Bane, #2)",Drew Karpyshyn,345477480,3,,
Run Fast: How to Train for a Five-K or 10-K Race,Hal Higdon,875961037,4,,
"The Boy Who Followed Ripley (Ripley, #4)",Patricia Highsmith,039333211X,2,,
Bloodline (Star Wars),Claudia Gray,451486080,0,,
The Third Man,Graham Greene,140286829,3,,
"Path of Destruction (Star Wars: Darth Bane, #1)",Drew Karpyshyn,345477367,4,,
Real Food: What to Eat and Why,Nina Planck,1596911441,0,,
The Canning Season,Polly Horvath,374399565,0,,
Women Crime Writers: Four Suspense Novels of the 1940s:  Laura / The Horizontal Man / In a Lonely Place / The Blank Wall (Library of America Women Crime Writers Collection),Sarah Weinman,1598534300,0,,
"Made to Kill (Ray Electromatic Mysteries, #1)",Adam Christopher,076537918X,0,,
A Monster Calls,Patrick Ness,1406311529,3,,
Rocket Boys (Coalwood #1),Homer Hickam,385333218,0,,
"The Infernals (Samuel Johnson, #2)",John Connolly,145164308X,0,,
Rebecca,Daphne du Maurier,316323705,0,,
Girl in a Band,Kim  Gordon,62295896,3,,
The Billion Dollar Spy: A True Story of Cold War Espionage and Betrayal,David E. Hoffman,385537603,2,,
Darth Plagueis (Star Wars),James Luceno,034551128X,0,,
Lost Stars (Star Wars),Claudia Gray,1484724984,0,,
Billy Lynn's Long Halftime Walk,Ben Fountain,60885599,4,,
Born Standing Up: A Comic's Life,Steve  Martin,1416553649,3,,
"The Angel's Game (The Cemetery of Forgotten Books, #2)",Carlos Ruiz Zafón,385528701,0,,
"The Girl in the Spider's Web (Millennium, #4)",David Lagercrantz,385354282,3,,
Witches of America,Alex  Mar,374291373,0,,
The Heart Goes Last,Margaret Atwood,385540353,0,,
"Futuristic Violence and Fancy Suits (Zoey Ashe, #1)",David  Wong,1250040191,0,,
"Riders of the Purple Sage (Riders of the Purple Sage, #1)",Zane Grey,812966120,0,,
Ghost Story,Peter Straub,671685635,4,,
The River of Doubt: Theodore Roosevelt's Darkest Journey,Candice Millard,767913736,0,,
In the Unlikely Event,Judy Blume,1101875046,3,,
The Magic of Reality: How We Know What's Really True,Richard Dawkins,1439192812,0,,
The Secret Life of Houdini: The Making of America's First Superhero,William Kalush,743272072,0,,
Flotsam,David Wiesner,618194576,5,,
The Lion and the Mouse,Jerry Pinkney,316013560,0,,
Men Without Women,Ernest Hemingway,,0,,
My Uncle Oswald,Roald Dahl,140055770,3,,
"Daniel Silva Gabriel Allon Novels 1-4 (Gabriel Allon, #1-4)",Daniel Silva,1101538856,0,,
"The High Window (Philip Marlowe, #3)",Raymond Chandler,394758269,3,,
The Art of Fielding,Chad Harbach,316126691,5,,
A Tree Grows in Brooklyn,Betty  Smith,61120073,5,,
Shopgirl,Steve  Martin,786891076,4,,
"The Girl With the Dragon Tattoo (Millennium, #1)",Stieg Larsson,670069019,4,,
"Sand (The Sand Chronicles, #1)",Hugh Howey,,0,,
Colorless Tsukuru Tazaki and His Years of Pilgrimage,Haruki Murakami,385352107,0,,
The Bone Clocks,David  Mitchell,1400065674,0,,
The Storied Life of A.J. Fikry,Gabrielle Zevin,1616203218,0,,
The Girl Who Played with Fire (Millennium #2),Stieg Larsson,307269981,4,,
"This Book Is Full of Spiders (John Dies at the End, #2)",David  Wong,312546343,4,,
Someone Could Get Hurt: A Memoir of Twenty-First-Century Parenthood,Drew Magary,159240832X,3,,
Robot Uprisings,Daniel H. Wilson,345803639,4,,
"The Hedge Knight (The Tales of Dunk and Egg, #1)",George R.R. Martin,,0,,
The Book Thief,Markus Zusak,,5,,
Slow Getting Up: A Story of NFL Survival from the Bottom of the Pile,Nate Jackson,62108026,4,,
"Doctor Sleep (The Shining, #2)",Stephen  King,1476727651,0,,
Vader's Little Princess,Jeffrey   Brown,1452118698,0,,
Jim Henson: The Biography,Brian Jay Jones,345526112,0,,
Different Seasons,Stephen  King,,4,,
The Inheritors,William Golding,156443791,0,,
Tourist Season,Carl Hiaasen,446695718,0,,
Shaman,Kim Stanley Robinson,316098078,0,,
Shantaram,Gregory David Roberts,192076920X,0,,
Then We Came to the End,Joshua Ferris,316016381,0,,
Beasts!: Book Two,Jacob Covey,1560979496,0,,
Beasts! Book One,Jacob Covey,156097768X,0,,
20th Century Ghosts,Joe Hill,61147974,0,,
Do Androids Dream of Electric Sheep?,Philip K. Dick,345350472,0,,
"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,,5,,
Start Your Own Corporation: Why the Rich Own Their Own Companies and Everyone Else Works for Them (Rich Dad's Advisors),Garrett Sutton,1937832007,0,,
Dad Is Fat,Jim Gaffigan,038534905X,0,,
Cooked: A Natural History of Transformation,Michael Pollan,1594204217,0,,
Warren Buffett: An Illustrated Biography of the World's Most Successful Investor,Ayano Morio,470821531,0,,
"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,812511816,0,,
While Mortals Sleep: Unpublished Short Fiction,Kurt Vonnegut Jr.,385343736,5,,
"Ranger Confidential: Living, Working, And Dying In The National Parks",Andrea Lankford,762752637,0,,
Lucky Jim,Kingsley Amis,140186301,0,,
"Tales of Terror from the Tunnel's Mouth (Tales of Terror, #3)",Chris Priestley,1408800144,0,,
"Tales of Terror from the Black Ship (Tales of Terror, #2)",Chris Priestley,1599902907,0,,
"Uncle Montague's Tales of Terror (Tales of Terror, #1)",Chris Priestley,1599901188,4,,
"In a Glass Grimmly (A Tale Dark & Grimm, #2)",Adam Gidwitz,1101591617,0,,
"Makeshift Workshop Skills for Survival and Self-Reliance: Expedient Ways to Make Your Own Tools, Do Your Own Repairs and Construct Useful Things Out of Raw and Salvaged Materials",James Ballou,1581607059,0,,
Snow Crash,Neal Stephenson,553380958,0,,
The Stand,Stephen  King,,0,,
Logan's Run,William F. Nolan,553025171,0,,
Redshirts,John Scalzi,765316994,0,,
Four Color Fear: Forgotten Horror Comics Of The 1950s,Greg Sadowski,1606993437,0,,
Dark Harvest,Norman Partridge,076531911X,0,,
Magic Street,Orson Scott Card,345416902,0,,
Otherland 1 - 4 Boxed Set,Tad Williams,3608934251,0,,
"Land of Nod, The Artifact (Land of Nod #1)",Gary  Hoover,,0,,
"The Talisman (The Talisman, #1)",Stephen  King,375507779,0,,
Player Piano,Kurt Vonnegut Jr.,385333781,0,,
The Magician King (The Magicians #2),Lev Grossman,670022314,4,,
The Rats in the Walls,H.P. Lovecraft,2266150227,0,,
"Lonesome Dove (Lonesome Dove, #1)",Larry McMurtry,067168390X,4,,
Steve Jobs,Walter Isaacson,1451648537,4,,
100 Things Every Designer Needs to Know About People,Susan M. Weinschenk,321767535,0,,
"Pulp: Charles Bukowski's Final Hardboiled Noir Comedy – Lady Death, Aliens, and the Absurd",Charles Bukowski,876859260,0,,
Tiny Homes: Simple Shelter (The Shelter Library of Building Books),Lloyd Kahn,936070528,0,,
Island of the Sequined Love Nun,Christopher Moore,60735449,4,,
Pulphead,John Jeremiah Sullivan,374532907,0,,
"Mockingjay (The Hunger Games, #3)",Suzanne Collins,439023513,3,,
Daytripper,Fábio Moon,1401229697,0,,
"Vector Prime (Star Wars: The New Jedi Order, #1)",R.A. Salvatore,345479335,0,,
The History of Money,Jack Weatherford,609801724,0,,
Live Off the Land in the City and Country,Ragnar Benson,873642007,0,,
The Dream Life of Balso Snell,Nathanael West,486433897,0,,
The Cry of the Owl,Patricia Highsmith,99282976,0,,
"King Dork (King Dork, #1)",Frank Portman,385732910,0,,
I Am the Cheese,Robert Cormier,141300515,0,,
Zone One,Colson Whitehead,385528078,0,,
Shadow Warriors: Inside the Special Forces (Commanders),Tom Clancy,330480731,0,,
"Hellboy, Vol. 1: Seed of Destruction and Wake the Devil",Mike Mignola,1593079109,4,,
Field & Stream: The Complete Hunter,Doug Painter,1585743135,0,,
Roald Dahl's Book of Ghost Stories,Roald Dahl,374251312,3,,
"The Hangman's Daughter (The Hangman's Daughter, #1)",Oliver Pötzsch,,0,,
White Noise,Don DeLillo,140283307,0,,
The Postman Always Rings Twice,James M. Cain,752861743,0,,
Squadron Supreme,Mark Gruenwald,,0,,
The Leftovers,Tom Perrotta,312358342,0,,
"Hellboy, Vol. 1: Seed of Destruction",Mike Mignola,1593070942,0,,
Frank Miller's Ronin,Frank Miller,930289218,3,,
Wolverine: Origin,Paul Jenkins,1417639091,0,,
Kingdom Come,Mark Waid,1563893304,5,,
Batman: Arkham Asylum - A Serious House on Serious Earth,Grant Morrison,1401204252,0,,
"The League of Extraordinary Gentlemen, Vol. 1",Alan             Moore,1563898586,4,,
"Preacher, Volume 1: Gone to Texas",Garth Ennis,,4,,
Ghost World,Daniel Clowes,1560974273,3,,
Batman: The Long Halloween,Jeph Loeb,1563894696,4,,
"Y: The Last Man, Vol. 1: Unmanned",Brian K. Vaughan,1563899809,0,,
Welcome to Lovecraft (Locke & Key #1),Joe Hill,1600102379,0,,
Men and Cartoons: Stories,Jonathan Lethem,1400076803,0,,
"Wild Cards (Wild Cards, #1)",George R.R. Martin,1596872829,0,,
Soon I Will Be Invincible,Austin Grossman,375424865,0,,
"Innocent (Kindle County Legal Thriller, #8)",Scott Turow,446562424,0,,
The War of the Worlds,H.G. Wells,375759239,0,,
"The Early Stories, 1953-1975",John Updike,141016086,0,,
The Third Policeman,Flann O'Brien,156478214X,0,,
Mystery Train: Images of America in Rock 'n' Roll,Greil Marcus,452278368,0,,
Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,743264460,0,,
Like Punk Never Happened: Culture Club and the New Pop,Dave Rimmer,571137393,0,,
"Chew, Vol. 1: Taster's Choice",John Layman,1607061597,0,,
A Child Across the Sky,Jonathan Carroll,385265352,0,,
Inherent Vice,Thomas Pynchon,1594202249,0,,
Hamlet's BlackBerry: A Practical Philosophy for Building a Good Life in the Digital Age,William  Powers,61687162,0,,
Punching Out: One Year in a Closing Auto Plant,Paul Clemens,385521154,0,,
The Film That Changed My Life: 30 Directors on Their Epiphanies in the Dark,Robert K. Elder,1556528256,0,,
How to Write a Sentence: And How to Read One,Stanley Fish,61840548,0,,
The Maltese Falcon,Dashiell Hammett,,5,,
My Gun Is Quick (Mike Hammer #2),Mickey Spillane,451135520,0,,
You Might Be a Zombie and Other Bad News,Cracked.com,452296390,0,,
Animal Farm,George Orwell,9799644828,0,,
"The A.B.C. Murders (Hercule Poirot, #13)",Agatha Christie,1579126243,0,,
The Big Con: The Story of the Confidence Man,David W. Maurer,385495382,0,,
Manhunt: The 12-Day Chase for Lincoln's Killer,James L. Swanson,60518502,0,,
The Historian,Elizabeth Kostova,751537284,0,,
Watchers,Dean Koontz,,0,,
Squirrel Seeks Chipmunk,David Sedaris,316038393,0,,
Wild Stories: The Best of Men's Journal,Jim Harrison,1400048303,0,,
The Undertaking: Life Studies from the Dismal Trade,Thomas Lynch,140276238,0,,
"The Prince of Mist (Niebla, #1)",Carlos Ruiz Zafón,316044776,0,,
The Long Ships,Frans G. Bengtsson,000612609X,0,,
"The Rise of Theodore Roosevelt (Theodore Roosevelt, #1)",Edmund  Morris,,0,,
"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,038549081X,4,,
"The Da Vinci Code (Robert Langdon, #2)",Dan    Brown,,2,,
Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,60838582,3,,
The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,316013684,3,,
"The Keep (Adversary Cycle, #1)",F. Paul Wilson,765357054,0,,
The Glass Castle,Jeannette Walls,074324754X,0,,
In the Shining Mountains,David    Thomson,553148214,0,,
The Wilderness Warrior: Theodore Roosevelt and the Crusade for America,Douglas Brinkley,60565284,0,,
Yeager: An Autobiography,Chuck Yeager,553256742,0,,
The Right Stuff,Tom Wolfe,553381350,0,,
Dune,Frank Herbert,,0,,
The Zombie Survival Guide: Complete Protection from the Living Dead,Max Brooks,1400049628,0,,
Crooked Little Vein,Warren Ellis,60723939,0,,
"The Homecoming (Wonderfully Illustrated Short Pieces, 2)",Ray Bradbury,60859628,0,,
Wicked Plants: The Weed That Killed Lincoln's Mother and Other Botanical Atrocities,Amy  Stewart,1565126831,0,,
Batman: Whatever Happened to the Caped Crusader?,Neil Gaiman,1401223036,0,,
Confessions of an Advertising Man,David Ogilvy,1904915019,0,,
Breath,Tim Winton,374116342,0,,
One Hundred Years of Solitude,Gabriel García Márquez,,0,,
The Grapes of Wrath,John Steinbeck,,0,,
The Little Prince,Antoine de Saint-Exupéry,152023984,5,,
Fahrenheit 451,Ray Bradbury,307347974,5,,
High Fidelity,Nick Hornby,1573225517,4,,
I Was Told There'd Be Cake: Essays,Sloane Crosley,159448306X,0,,
When You Are Engulfed in Flames,David Sedaris,316143472,0,,
The Lodger,Marie Belloc Lowndes,897332997,0,,
The House of the Spirits,Isabel Allende,553383809,0,,
Welcome to the Monkey House,Kurt Vonnegut Jr.,385333501,4,,
The Perfect Storm: A True Story of Men Against the Sea,Sebastian Junger,393050327,4,,
"The Loo Sanction (Jonathan Hemlock, #2)",Trevanian,1400098289,5,,
Shibumi,Trevanian,1400098033,5,,
"The Eiger Sanction (Jonathan Hemlock, #1)",Trevanian,,5,,
The Summer of Katya,Trevanian,1400098041,3,,
Even Cowgirls Get the Blues,Tom Robbins,055334949X,5,,
Villa Incognito,Tom Robbins,553382195,3,,
Travels with Charley: In Search of America,John Steinbeck,142000701,4,,
"God Bless You, Mr. Rosewater",Kurt Vonnegut Jr.,385333471,4,,
Marvel 1602,Neil Gaiman,785123113,4,,
Never Let Me Go,Kazuo Ishiguro,1400078776,0,,
The Lord of the Rings,J.R.R. Tolkien,618640150,4,,
Eiger Dreams: Ventures Among Men and Mountains,Jon Krakauer,385488181,2,,
Into Thin Air: A Personal Account of the Mt. Everest Disaster,Jon Krakauer,,5,,
Into the Wild,Jon Krakauer,385486804,4,,
The Poisonwood Bible,Barbara Kingsolver,60786507,0,,
The Halloween Tree,Ray Bradbury,375803017,4,,
"Song of Susannah (The Dark Tower, #6)",Stephen  King,1416521496,3,,
"Wolves of the Calla (The Dark Tower, #5)",Stephen  King,141651693X,5,,
"The Dark Tower (The Dark Tower, #7)",Stephen  King,,4,,
"Wizard and Glass (The Dark Tower, #4)",Stephen  King,340829788,3,,
"The Waste Lands (The Dark Tower, #3)",Stephen  King,670032565,4,,
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,,5,,
Timeline,Michael Crichton,99244721,4,,
Geek Love,Katherine Dunn,375713344,3,,
Birds of America: Stories,Lorrie Moore,312241224,3,,
The Count of Monte Cristo,Alexandre Dumas,140449264,5,,
Mildred Pierce,James M. Cain,752852043,4,,
The Colorado Kid,Stephen  King,843955848,3,,
"Fluke: Or, I Know Why the Winged Whale Sings",Christopher Moore,006056668X,5,,
"Coyote Waits (Leaphorn & Chee, #10)",Tony Hillerman,61099325,3,,
Interpreter of Maladies,Jhumpa Lahiri,618101365,3,,
Shrub: The Short but Happy Political Life of George W. Bush,Molly Ivins,375757147,3,,
A Spot of Bother,Mark Haddon,385520514,4,,
"The House with a Clock in Its Walls (Lewis Barnavelt, #1)",John Bellairs,,4,,
"A Working Stiff's Manifesto: A Memoir of Thirty Jobs I Quit, Nine That Fired Me, and Three I Can't Remember",Iain Levison,812967941,3,,
The Hungry Ocean: A Swordboat Captain's Journey,Linda Greenlaw,786885416,4,,
The Lobster Chronicles: Life on a Very Small Island,Linda Greenlaw,786885912,4,,
"The Hot Kid (Carl Webster, #1)",Elmore Leonard,60724234,4,,
Freaky Deaky,Elmore Leonard,60089555,3,,
"Rabbit, Run (Rabbit Angstrom, #1)",John Updike,449911659,3,,
A Scanner Darkly,Philip K. Dick,057507681X,4,,
Survivor,Chuck Palahniuk,009928264X,4,,
A Short History of Nearly Everything,Bill Bryson,076790818X,5,,
A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,307279464,5,,
The Price of Salt,Claire  Morgan,393325997,4,,
"The Talented Mr. Ripley (Ripley, #1)",Patricia Highsmith,,4,,
A Sand County Almanac and Sketches Here and There,Aldo Leopold,195007778,3,,
Possession,A.S. Byatt,679735909,4,,
The Fool's Progress,Edward Abbey,805057919,3,,
"Hayduke Lives! (Monkey Wrench Gang, #2)",Edward Abbey,316004138,3,,
"The Monkey Wrench Gang (Monkey Wrench Gang, #1)",Edward Abbey,61129763,5,,
Desert Solitaire,Edward Abbey,345326490,5,,
The Stone Diaries,Carol Shields,143036394,3,,
Kafka on the Shore,Haruki Murakami,,4,,
The Wind-Up Bird Chronicle,Haruki Murakami,,5,,
Nine Stories,J.D. Salinger,316767727,3,,
The Catcher in the Rye,J.D. Salinger,316769177,5,,
Everything is Illuminated,Jonathan Safran Foer,60529709,4,,
Extremely Loud & Incredibly Close,Jonathan Safran Foer,618711651,5,,
Holidays on Ice,David Sedaris,316191299,3,,
Lolita,Vladimir Nabokov,,4,,
The Great Gatsby,F. Scott Fitzgerald,743273567,5,,
The Curious Incident of the Dog in the Night-Time,Mark Haddon,1400032717,4,,
Pastoralia,George Saunders,747553866,3,,
Me Talk Pretty One Day,David Sedaris,349113912,4,,
"The Sicilian (The Godfather, #2)",Mario Puzo,345441702,3,,
The Amazing Adventures of Kavalier & Clay,Michael Chabon,312282990,5,,
The Call of the Wild,Jack London,,5,,
"The Drawing of the Three (The Dark Tower, #2)",Stephen  King,451210859,3,,
"The Gunslinger (The Dark Tower, #1)",Stephen  King,1501143514,3,,
